@relation 'struts_pkg_prediction-weka.filters.unsupervised.attribute.Remove-R1,9-11-weka.filters.supervised.instance.SMOTE-C2-K5-P1220.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P1841.0-S1'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
c,0,0,0,0,0,1
c,0,0,0,0,0,1
c,0.326808,0.766812,0,0,0,1
c,0,0,0,0,0.95118,0.603807
c,0,0.182854,0,0,0.619286,1
c,0,0,0,0,0.444919,0.833867
c,0,0,0,0,0,1
c,0,0,0,0,0,1
c,0,0.876915,0,0,0.253422,1
c,0,0,0,0,0,1
c,0,0,0,0,0,0.891659
c,0,0,0,0,0,0.274718
c,0,0,0,0,0,1
c,0,0,0,0,0.995015,0.839104
c,0,0.924177,0,0,1,0
c,0.438728,0.984153,0,0,1,0
c,0,1,0,0,1,0
c,0.407753,0.695877,0,0,1,0
c,0,0.227652,0,0,1,0
c,0,0.595117,0,0,1,0
c,0,1,0,0,1,0
c,0.646877,0.692473,0,0,1,0
c,0.648522,0.623125,0,0,1,0
c,0,0.706604,0,0,1,0
c,0,1,0,0,1,0.929499
c,0,0.086391,0,0,1,0
c,0,0.78502,0,0,1,0
c,0,1,0,0,1,0
c,0,0.192881,0,0,1,0
c,0.410849,0.226069,0,0,1,0
c,0,0.995613,0,0,1,0
c,0.321057,0.757586,0,0,1,0
c,1,1,0,0.248495,0,0
c,1,1,0.582228,0,0,0
c,1,0.186239,0,0,0.073162,0
c,1,1,0.4404,0,0,0
c,1,1,0,0.129094,0,0.343533
c,1,0.249886,0,0,0.459976,0
c,1,1,0,0.689129,0,0.732749
c,1,1,0.499131,0,0,0
c,1,1,0,0.496217,0,0.088509
c,1,1,0,0.642385,0,0.61346
c,1,1,0,0.399924,0,0.480391
c,1,1,0.104451,0,0,0
c,1,1,0,0,0,0.937792
c,1,1,0.241518,0,0,0
c,1,1,0,0.06026,0,0
c,1,1,0,0.630475,0,0.322
c,1,1,0.37043,0,0,0
c,1,1,0.543546,0,0,0
c,1,0.886008,0,1,1,0
